osm_id,name,golf_tree,golf_shrub,golf_grass,golf_crop,golf_built,golf_bare,golf_water,golf_wetland,golf_mangrove,ring_tree,ring_shrub,ring_grass,ring_crop,ring_built,ring_bare,ring_water,ring_wetland,ring_mangrove
264770929,Olot Golf Course,0.5208,0,0.4792,0,0,0,0,0,0,0.538,0,0.0532,0.0012,0.2447,0.0028,0.1601,0,0
80393802,The Cliff Golf Course,0.0662,0,0.7595,0.1254,0.0082,0,0.0407,0,0,0.1803,0,0.0998,0.0407,0.2577,0.0256,0.3959,0,0
246644550,,0.0208,0,0.9792,0,0,0,0,0,0,0.5168,0,0.062,0.3017,0.1194,0,0,0,0
121047040,,0.5183,0,0.336,0.0948,0.0509,0,0,0,0,0.0916,0,0.0021,0.0055,0.9008,0,0,0,0
1568934,Caliraya Spring Golf & Country Club,0.0013,0,0.9987,0,0,0,0,0,0,0.0956,0,0.8438,0.0005,0.0309,0.0291,0,0,0
20507414,Lepanto Mines Golf Course,0.0022,0,0.9978,0,0,0,0,0,0,0.6949,0,0.1638,0.032,0.08,0.0292,0,0,0
109833384,,0.1229,0,0.8745,0.0026,0,0,0,0,0,0.2505,0,0.6909,0.0021,0.0355,0.0204,0.0006,0,0
32750324,,0.2832,0,0.7084,0.0027,0.0057,0,0,0,0,0.5828,0,0.3219,0.0024,0.0929,0,0,0,0
213709056,,0.0667,0,0.9333,0,0,0,0,0,0,0.61,0,0.1388,0.0264,0.1989,0.0259,0,0,0
32759572,,0.2228,0,0.7772,0,0,0,0,0,0,0.7571,0,0.1539,0.0015,0.0874,0.0001,0,0,0
17908468,,0.5679,0,0.207,0.0231,0.202,0,0,0,0,0.0963,0,0.0072,0.0054,0.7137,0.01,0.1675,0,0
175010424,Hampas Lupa Golf Driving Range,0.3202,0,0.6505,0,0.0293,0,0,0,0,0.2722,0,0.0379,0.0037,0.5823,0.0006,0.1034,0,0
703800716,,0,0,1,0,0,0,0,0,0,0.9562,0,0.0117,0.0175,0.0145,0,0,0,0
184362383,Camp Aguinaldo Golf Course,0.1887,0,0.8094,0,0.0019,0,0,0,0,0.1879,0,0.0084,0.0004,0.801,0.0023,0,0,0
160903445,LLCI,0.0061,0,0.8966,0,0.0973,0,0,0,0,0.5893,0,0.1606,0.0002,0.0685,0.0346,0,0,0.1468
1105103473,Davao Eaglemasters Golf Driving Range,0,0,0.9902,0,0.0098,0,0,0,0,0.3925,0,0.353,0.025,0.1054,0.0095,0.1145,0,0
184362384,Camp Aguinaldo Golf Course,0.6101,0,0.3899,0,0,0,0,0,0,0.2397,0,0.0048,0.0006,0.7533,0.0017,0,0,0
16751280,Laguna Bel Air Mini Golf Course,1,0,0,0,0,0,0,0,0,0.3257,0,0.0008,0.1032,0.5682,0.0021,0,0,0
703800717,,0.0136,0,0.9864,0,0,0,0,0,0,0.9215,0,0.039,0.0268,0.0127,0,0,0,0
35213090,Las Piñas Driving Range,0.0058,0,0.693,0.3009,0.0004,0,0,0,0,0.1331,0,0.0041,0.0001,0.8571,0.0055,0,0,0
7588874,Driving range,0,0,1,0,0,0,0,0,0,0.3739,0,0.1906,0.2334,0.1992,0.003,0,0,0
1209424422,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66703198,EG Golf & Driving Range,0.0016,0,0.9216,0.0768,0,0,0,0,0,0.4522,0,0.0527,0.0005,0.4939,0.0007,0,0,0
142839733,Iloilo Golf Driving Range,0,0,1,0,0,0,0,0,0,0.2491,0,0.1624,0.0121,0.529,0.0008,0.0202,0.0265,0
60121152,City Golf,0.3225,0,0.6775,0,0,0,0,0,0,0.1438,0,0.0122,0.0024,0.8416,0.0001,0,0,0
1468599051,,0.001,0,0.999,0,0,0,0,0,0,0.8078,0,0.0968,0.0627,0.0328,0,0,0,0
150835617,"Driving Range, fenced",0,0,1,0,0,0,0,0,0,0.1878,0,0.1777,0.005,0.3291,0.1213,0.179,0,0
702047132,,0,0,1,0,0,0,0,0,0,0.9402,0,0.027,0.0224,0.0104,0,0,0,0
1468599052,,0,0,1,0,0,0,0,0,0,0.8233,0,0.0821,0.0507,0.0439,0,0,0,0
1241013713,,0,0,1,0,0,0,0,0,0,0.4273,0,0.0623,0,0.4851,0.0252,0,0,0
1455691384,,0.1392,0,0.0573,0.8035,0,0,0,0,0,0.8435,0,0.0598,0.0701,0.0235,0.0032,0,0,0
1116950585,Pitch & Putt,1,0,0,0,0,0,0,0,0,0.7163,0,0.0963,0.0013,0.1133,0.0112,0.0617,0,0
32775560,,0.5821,0,0,0.2044,0.2135,0,0,0,0,0.2561,0,0.0016,0.0002,0.7414,0.0007,0,0,0
1468599053,,0.1849,0,0.4735,0.3416,0,0,0,0,0,0.5304,0,0.0985,0.0857,0.2854,0,0,0,0
1468599054,,1,0,0,0,0,0,0,0,0,0.5822,0,0.0863,0.0682,0.263,0.0003,0,0,0
