osm_id,name,golf_y2019,golf_y2020,golf_y2021,golf_y2022,golf_y2023,ring_y2019,ring_y2020,ring_y2021,ring_y2022,ring_y2023
109833384,,0.6826,0.747,0.7327,0.6613,0.6939,0.4674,0.5306,0.5665,0.5901,0.5645
32750324,,0.6369,0.6339,0.7217,0.6733,0.7005,0.6266,0.6065,0.684,0.6409,0.6598
213709056,,0.3325,0.3375,0.5243,0.6071,0.5542,0.4571,0.3994,0.5275,0.5257,0.5065
32759572,,0.6035,0.6446,0.6966,0.682,0.6788,0.713,0.6882,0.7388,0.6878,0.7471
17908468,,0.4745,0.5114,0.5965,0.4496,0.538,0.1219,0.126,0.1409,0.1029,0.1303
175010424,Hampas Lupa Golf Driving Range,0.6146,0.6164,0.7077,0.7437,0.6223,0.3253,0.3073,0.3364,0.3314,0.3206
703800716,,0.6394,0.5616,0.5771,0.5655,0.518,0.6491,0.6143,0.732,0.6642,0.7365
184362383,Camp Aguinaldo Golf Course,0.5062,0.6345,0.6593,0.5796,0.5854,0.2369,0.2421,0.2523,0.2244,0.236
160903445,LLCI,0.5001,0.5363,0.5966,0.6414,0.5766,0.6174,0.6476,0.6359,0.6617,0.6577
1105103473,Davao Eaglemasters Golf Driving Range,0.5015,0.5153,0.6282,0.6732,0.67,0.508,0.5082,0.5377,0.5414,0.5105
184362384,Camp Aguinaldo Golf Course,0.6273,0.6762,0.6897,0.6257,0.6326,0.2633,0.2743,0.2751,0.2596,0.2615
16751280,Laguna Bel Air Mini Golf Course,0.7333,0.7189,0.7482,0.6866,0.7511,0.3606,0.3264,0.3837,0.3635,0.4021
703800717,,0.691,0.612,0.6132,0.6404,0.6542,0.6341,0.6029,0.7166,0.6551,0.7367
35213090,Las Piñas Driving Range,0.3565,0.3181,0.5509,0.3605,0.4472,0.1948,0.1842,0.2059,0.2021,0.2233
7588874,Driving range,0.3569,0.4635,0.5692,0.4426,0.3226,0.4504,0.4622,0.4832,0.4918,0.4671
1209424422,,0.6363,0.7588,0.7153,0.8025,0.703,0.84,0.8372,0.8549,0.8709,0.8453
66703198,EG Golf & Driving Range,0.2782,0.2938,0.3791,0.3401,0.3382,0.3846,0.3685,0.4035,0.3734,0.3919
142839733,Iloilo Golf Driving Range,0.565,0.5001,0.6391,0.5277,0.6579,0.4041,0.4255,0.4423,0.4173,0.4624
60121152,City Golf,0.3009,0.3663,0.3606,0.3652,0.3038,0.225,0.2192,0.2477,0.2402,0.2367
1468599051,,0.3576,0.357,0.6462,0.3321,0.5162,0.5601,0.6055,0.6765,0.5827,0.6299
150835617,"Driving Range, fenced",0.3304,0.3736,0.5198,0.5594,0.4279,0.2262,0.2256,0.2216,0.2492,0.2127
702047132,,0.6964,0.6353,0.6157,0.5799,0.5719,0.6633,0.634,0.7435,0.6741,0.7731
1468599052,,0.3201,0.3828,0.532,0.2761,0.5189,0.5674,0.6139,0.6836,0.6011,0.6468
1241013713,,0.2205,0.2337,0.4803,0.5252,0.5794,0.4086,0.4199,0.4827,0.5022,0.495
1455691384,,0.4329,0.531,0.5734,0.6338,0.5563,0.6039,0.5442,0.6486,0.6306,0.4556
1116950585,Pitch & Putt,0.5738,0.6426,0.6592,0.5459,0.6119,0.4609,0.506,0.5706,0.488,0.532
32775560,,0.5845,0.631,0.4787,0.6211,0.5817,0.298,0.3228,0.2937,0.3154,0.2995
1468599053,,0.553,0.4731,0.5476,0.319,0.4909,0.402,0.4413,0.5093,0.4312,0.484
1468599054,,0.5547,0.4557,0.6071,0.3437,0.5545,0.4134,0.4512,0.519,0.4416,0.5015
