osm_id,name,golf_n_base,golf_sd_base,golf_n_elnino,golf_sd_elnino,golf_n_latest,golf_sd_latest,ring_n_base,ring_sd_base,ring_n_elnino,ring_sd_elnino,ring_n_latest,ring_sd_latest
113548725,,23.5867,0.0907,6.6844,0.0479,7.694,0.1077,21.9659,0.0913,7.4115,0.0506,7.9684,0.0608
19224722,Camp John Hay Golf Course,205.5323,0.0863,49.204,0.0832,50.3797,0.0733,203.7517,0.086,49.1563,0.0824,49.4736,0.0781
550922162,Dole Kalsangi Golf Club,50.7442,0.0919,15.8648,0.1188,15.1432,0.0943,53.5158,0.1271,16.4061,0.1035,14.8834,0.082
397901069,Sarangani Golf & Country Club,92.2968,0.1169,22.9391,0.1053,24.0005,0.0936,89.0764,0.1178,21.4658,0.1076,21.057,0.0925
14196103,Capitol Hills Golf and Country Club,40.5711,0.1285,11.5129,0.1059,9.4865,0.0782,39.2099,0.0966,11.6254,0.0675,9.8315,0.0575
150765385,Ponderosa Golf Course,85.9325,0.0812,21.039,0.0397,18.1764,0.0529,79.3433,0.0821,21.1017,0.0413,17.3091,0.0483
234890223,Banaba Golf Club,38.1553,0.1191,12.7453,0.0743,10.6876,0.0682,39.838,0.0843,12.4528,0.0509,10.6176,0.0424
27189526,Camp Aguinaldo Golf Course,39.6268,0.1217,11.0332,0.1055,6.1592,0.0562,39.7225,0.0898,10.4988,0.0681,6.7177,0.0607
1216020018,Paraiso Golf Course,82.1158,0.1046,20.7938,0.1381,26.6362,0.0802,82.0232,0.1047,20.5685,0.1463,25.8313,0.0835
32750431,,62.7999,0.0921,17.0638,0.076,22.3202,0.0655,60.3527,0.104,17.4956,0.0702,22.4451,0.0498
1450616996,Don Paco Rocamora Golf & Country Club,46.6893,0.1587,11.3729,0.1124,13.732,0.124,46.1403,0.1043,11.3615,0.0741,13.8533,0.0972
251713251,Ang Tay Golf Course,50.7732,0.1215,15.904,0.1238,11.3745,0.105,50.1438,0.0947,15.492,0.0763,11.0727,0.0918
