osm_id,name,ring_grass_frac,golf_wet,ring_grass_wet,wet_gap
184128526,Camp Evangelista Golf Club,0.0731,0.6891,0.5527,0.1364
146996117,,0.2137,0.7189,0.6733,0.0456
1498101159,Haciendas de Naga,0.2932,0.6903,0.7374,-0.0471
664750028,San Antonio Golf Course,0.1122,0.7099,0.6613,0.0487
14143603,Baguio Country Club Golf Course,0.0166,0.7065,0.5933,0.1132
107092431,,0.1376,0.8341,0.5099,0.3242
27832178,Philippine Army Golf Club,0.054,0.673,0.6509,0.0221
32750230,,0.1229,0.6995,0.6301,0.0694
32750176,,0.155,0.6829,0.6286,0.0542
537391355,Punta Fuego Golf Club,0.0088,0.6852,0.634,0.0512
318352365,Basa Air Base Golf Course,0.2305,0.7374,0.611,0.1264
1350772044,Perfect Star Golf Course,0.1268,0.6006,0.6454,-0.0448
16312972,Illana Bay Golf & Country Club,0.0088,0.7761,0.6716,0.1044
683035062,West Highlands Golf Course,0.086,0.6969,0.5449,0.152
273056776,Royale Tagaytay,0.2075,0.7197,0.6829,0.0368
281980715,,0.2128,0.4525,0.5931,-0.1405
137911884,Basa Air Base Golf Course,0.3712,0.7493,0.6392,0.1101
264770929,Olot Golf Course,0.0476,0.7172,0.6687,0.0485
80393802,The Cliff Golf Course,0.0487,0.6241,0.4643,0.1598
246644550,,0.1301,0.6065,0.6224,-0.0159
121047040,,0.0293,0.6993,0.6164,0.0828
1568934,Caliraya Spring Golf & Country Club,0.4898,0.6395,0.4989,0.1406
20507414,Lepanto Mines Golf Course,0.1516,0.6353,0.6878,-0.0525
109833384,,0.4836,0.7231,0.5022,0.2209
32750324,,0.1154,0.6991,0.5929,0.1062
213709056,,0.2103,0.6569,0.5772,0.0797
32759572,,0.1335,0.6853,0.5928,0.0925
17908468,,0.0054,0.5315,0.342,0.1894
175010424,Hampas Lupa Golf Driving Range,0.048,0.6819,0.5781,0.1038
703800716,,0.0438,0.5772,0.6068,-0.0296
184362383,Camp Aguinaldo Golf Course,0.0072,0.6245,0.6321,-0.0075
160903445,LLCI,0.0549,0.6079,0.5691,0.0388
1105103473,Davao Eaglemasters Golf Driving Range,0.0977,0.6104,0.5575,0.0529
184362384,Camp Aguinaldo Golf Course,0.0073,0.6483,0.6405,0.0079
16751280,Laguna Bel Air Mini Golf Course,0.1001,0.8195,0.6742,0.1453
703800717,,0.0505,0.6696,0.6035,0.0661
35213090,Las Piñas Driving Range,0.0084,0.641,0.5601,0.0809
7588874,Driving range,0.24,0.6783,0.6807,-0.0024
1209424422,,0.0087,0.7876,0.6955,0.0921
66703198,EG Golf & Driving Range,0.0548,0.67,0.5541,0.1159
142839733,Iloilo Golf Driving Range,0.2344,0.6435,0.6138,0.0297
60121152,City Golf,0.0045,0.5809,0.4791,0.1017
1468599051,,0.0758,0.7582,0.7241,0.0341
150835617,"Driving Range, fenced",0.0756,0.6669,0.4665,0.2004
702047132,,0.0599,0.6034,0.604,-0.0006
1468599052,,0.0773,0.7932,0.7347,0.0586
1241013713,,0.0877,0.5924,0.6286,-0.0363
1455691384,,0.0722,0.6905,0.755,-0.0645
1116950585,Pitch & Putt,0.1553,0.6731,0.6589,0.0141
32775560,,0.0095,0.537,0.5778,-0.0408
1468599053,,0.0561,0.7428,0.6165,0.1263
1468599054,,0.0631,0.7723,0.6634,0.1088
