osm_id,name,ring_grass_frac,golf_grass_base,golf_grass_elnino,golf_grass_latest,ring_grass_base,ring_grass_elnino,ring_grass_latest,matched_gap_base,matched_gap_elnino,matched_gap_latest,matched_signal,matched_signal_2026
30478360,Apo Golf and Country Club,0.0929,0.6717,0.6545,0.6917,0.5624,0.5478,0.5685,0.1093,0.1067,0.1232,-0.0026,0.0139
17250995,Lakewood Golf Course,0.21,0.4919,0.4317,0.511,0.5262,0.4843,0.4753,-0.0343,-0.0525,0.0357,-0.0183,0.07
4913973,Alabang Country Club,0.0553,0.6436,0.6094,0.6523,0.3876,0.2682,0.3709,0.256,0.3412,0.2814,0.0852,0.0254
1262766897,South Forbes Golf Club,0.1022,0.5551,0.5618,0.5445,0.4622,0.4426,0.4185,0.0928,0.1193,0.126,0.0264,0.0332
128616401,Villamor Air Base Golf Course,0.034,0.6422,0.592,0.6274,0.3523,0.2645,0.2874,0.2899,0.3276,0.34,0.0377,0.0501
153513039,Splendido Golf Course,0.0638,0.56,0.5836,0.57,0.5415,0.5005,0.4835,0.0184,0.0831,0.0865,0.0647,0.0681
269467713,Royal Garden Golf,0.2059,0.4119,0.35,0.567,0.3151,0.2816,0.213,0.0968,0.0684,0.354,-0.0285,0.2572
9630843,Fairways and Bluewater Resort Golf and Country Club,0.0275,0.4609,0.3864,0.3645,0.3427,0.3191,0.3644,0.1181,0.0674,0.0001,-0.0508,-0.118
67137399,Cebu Country Club,0.0096,0.6243,0.5114,0.5359,0.414,0.3453,0.4492,0.2103,0.1661,0.0867,-0.0442,-0.1236
244117954,Mactan Island Golf Club,0.1836,0.5615,0.4231,0.5285,0.3524,0.2798,0.3971,0.2091,0.1433,0.1313,-0.0658,-0.0778
83415116,Leyte Golf and Country Club,0.261,0.6642,0.4552,0.6945,0.6046,0.4362,0.6271,0.0596,0.019,0.0674,-0.0406,0.0078
167420206,Iloilo Golf and Country Club,0.2536,0.6555,0.5348,0.6649,0.5661,0.4831,0.6349,0.0894,0.0517,0.0299,-0.0377,-0.0595
1415089965,,0.0053,0.3987,0.3374,0.4962,0.4177,0.5168,0.5842,-0.019,-0.1794,-0.0881,-0.1604,-0.0691
8326757,Manila Golf and Country Club,0.0468,0.727,0.7405,0.6869,0.6826,0.672,0.6489,0.0444,0.0686,0.038,0.0242,-0.0064
246446745,,0.0593,0.5613,0.5258,0.5732,0.4999,0.4419,0.5137,0.0614,0.0839,0.0595,0.0225,-0.0018
15273788,Zamora Championship Course,0.0058,0.526,0.3875,0.446,0.4346,0.339,0.4179,0.0913,0.0485,0.0282,-0.0428,-0.0632
245376615,San Juanico Golf And Country Club,0.1547,0.6209,0.5851,0.5583,0.6521,0.6728,0.6425,-0.0312,-0.0877,-0.0841,-0.0565,-0.053
53625579,Negros Occidental Golf and Country Club,0.1447,0.6489,0.4291,0.6295,0.531,0.3495,0.4887,0.1179,0.0795,0.1409,-0.0384,0.0229
515497211,"Bacolod Golf & Country Club, INC.",0.0513,0.6184,0.4175,0.6279,0.5256,0.2997,0.5543,0.0929,0.1179,0.0735,0.025,-0.0194
942438304,Fernando Air Base Golf Club,0.2109,0.5354,0.4912,0.476,0.5621,0.4963,0.4363,-0.0268,-0.0051,0.0397,0.0216,0.0664
1520602515,Tagaytay Highlands International Golf Club,0.0324,0.6254,0.649,0.6368,0.3503,0.375,0.3709,0.275,0.274,0.2659,-0.0011,-0.0092
150436422,Club Filipino Golf Course,0.0955,0.6863,0.6834,0.6824,0.5748,0.5394,0.6216,0.1114,0.144,0.0607,0.0326,-0.0507
1347745645,Tandatangan Golf Course,0.1868,0.3422,0.5053,0.5404,0.3033,0.216,0.2746,0.0389,0.2893,0.2659,0.2504,0.227
306524835,Antonio Bautista Golf Course,0.1024,0.3793,0.2593,0.3431,0.3919,0.285,0.3803,-0.0126,-0.0257,-0.0372,-0.0131,-0.0246
310023913,Edwin Andrews Air Base Golf Club,0.1409,0.5408,0.4621,0.5642,0.5072,0.4366,0.4556,0.0336,0.0255,0.1085,-0.0081,0.0749
101917627,,0.1249,0.2821,0.2522,0.2491,0.24,0.2386,0.2515,0.0421,0.0136,-0.0023,-0.0284,-0.0444
8212685,Veterans Memorial Medical Center Golf Course,0.0014,0.5397,0.5248,0.5727,0.2011,0.1946,0.1982,0.3386,0.3302,0.3744,-0.0084,0.0359
1058754970,Fontana Golf,0.2941,0.5009,0.5463,0.5541,0.3557,0.2883,0.2882,0.1452,0.258,0.2659,0.1128,0.1207
27832144,Philippine Navy Golf Club,0.0561,0.6081,0.62,0.6686,0.4092,0.3074,0.3734,0.1989,0.3127,0.2951,0.1138,0.0962
175533230,,0.1278,0.6128,0.4238,0.6725,0.4961,0.3854,0.5504,0.1167,0.0385,0.1221,-0.0782,0.0054
13655553,Rio Tuba Nickel Mining Corp Golf Club,0.1259,0.5345,0.3686,0.6614,0.4379,0.3383,0.5,0.0966,0.0303,0.1614,-0.0663,0.0648
16741298,The Cliff Golf Course,0.1039,0.3729,0.3315,0.3698,0.2149,0.2208,0.2388,0.1579,0.1107,0.131,-0.0472,-0.0269
113548725,,0.3355,0.6827,0.6575,0.529,0.5055,0.5929,0.5282,0.1772,0.0646,0.0008,-0.1126,-0.1764
19224722,Camp John Hay Golf Course,0.0156,0.597,0.5695,0.5896,0.4423,0.3645,0.4367,0.1547,0.205,0.1529,0.0502,-0.0019
550922162,Dole Kalsangi Golf Club,0.0147,0.6755,0.6784,0.7122,0.6448,0.6039,0.6706,0.0307,0.0745,0.0417,0.0438,0.0109
397901069,Sarangani Golf & Country Club,0.064,0.5578,0.5344,0.5801,0.5038,0.4342,0.4819,0.054,0.1002,0.0982,0.0462,0.0442
14196103,Capitol Hills Golf and Country Club,0.0274,0.6058,0.601,0.5877,0.2974,0.3427,0.367,0.3083,0.2582,0.2207,-0.0501,-0.0876
150765385,Ponderosa Golf Course,0.0088,0.6666,0.7225,0.7011,0.6365,0.643,0.6395,0.03,0.0795,0.0616,0.0495,0.0316
234890223,Banaba Golf Club,0.1822,0.4502,0.429,0.5131,0.5314,0.4849,0.5689,-0.0812,-0.0559,-0.0558,0.0253,0.0254
27189526,Camp Aguinaldo Golf Course,0.009,0.5928,0.5827,0.6784,0.35,0.243,0.2701,0.2428,0.3397,0.4083,0.0969,0.1654
1216020018,Paraiso Golf Course,0.1873,0.5698,0.4493,0.5737,0.6185,0.4919,0.5875,-0.0487,-0.0426,-0.0138,0.0061,0.0349
32750431,,0.0697,0.6351,0.6199,0.6313,0.5044,0.5241,0.5209,0.1307,0.0959,0.1103,-0.0349,-0.0204
1450616996,Don Paco Rocamora Golf & Country Club,0.2493,0.5007,0.5136,0.5765,0.6422,0.5906,0.5754,-0.1415,-0.077,0.0011,0.0645,0.1426
251713251,Ang Tay Golf Course,0.0915,0.586,0.4647,0.7097,0.589,0.473,0.6243,-0.003,-0.0083,0.0854,-0.0053,0.0884
30783169,Cattle Creek,0.1008,0.6033,0.5315,0.4826,0.5142,0.4443,0.5081,0.0891,0.0872,-0.0255,-0.0019,-0.1146
17944530,Club Intramuros Golf Course,0.0059,0.5902,0.4309,0.5021,0.3007,0.2612,0.2919,0.2895,0.1697,0.2102,-0.1198,-0.0793
542005767,Iligan City Golf Course,0.0588,0.675,0.6938,0.6571,0.582,0.6031,0.5687,0.0929,0.0907,0.0884,-0.0023,-0.0045
